Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\Services\Common.Dto\Selkie.Services.Common.Dto\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common\NuGet.Selkie.Services.Common,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Common\NuGet.Selkie.Services.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common,23,768,642,337,17,103,1,23,146,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Example,4,140,101,45,1,22,0,17,120,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Example\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Example\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Example\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Tests,11,915,718,332,1,158,0,39,172,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Tests\Messages,5,222,188,81,0,29,0,5,20,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common\Messages,7,72,64,31,0,8,0,0,0,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common\Selkie.Services.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines,106,6677,5213,2526,181,1054,2,410,1630,0,1
C:\Development\Selkie\Services\Lines.Common,20,775,578,235,2,111,1,86,434,0,1
C:\Development\Selkie\Services\Lines.Common\NuGet.Selkie.Services.Lines.Common,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines.Common\NuGet.Selkie.Services.Lines.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common,9,195,155,46,0,23,0,17,120,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common.Tests,9,461,355,163,1,66,0,40,147,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common.Tests\Dto,1,106,88,38,0,13,0,5,9,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common.Tests\Messages,7,316,253,123,1,45,0,18,18,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common\Dto,1,30,23,10,0,7,0,0,0,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common\Messages,6,79,72,29,0,7,0,0,0,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines.Common\Selkie.Services.Lines.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines.Common\packages,1,80,54,24,1,14,1,12,47,0,1
C:\Development\Selkie\Services\Lines.Common\packages\SpecFlow.NUnit.Runners.1.0.0,1,80,54,24,1,14,1,12,47,0,1
C:\Development\Selkie\Services\Lines.Common\packages\SpecFlow.NUnit.Runners.1.0.0\content,1,80,54,24,1,14,1,12,47,0,1
C:\Development\Selkie\Services\Lines\NuGet.Selkie.Services.Lines,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\NuGet.Selkie.Services.Lines\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON,14,476,380,216,22,78,0,18,124,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON.Tests,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON\Importer,13,437,366,214,22,70,0,1,4,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON\Importer\Interfaces,6,74,67,41,0,7,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.GeoJSON\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines,31,1914,1544,778,93,319,0,51,266,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Console,3,77,47,18,1,11,0,19,128,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Console.Client,5,297,227,109,5,49,0,21,136,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Console.Client\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Console.Client\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Console.Client\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Console\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Console\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Console\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Specflow,26,1101,933,404,27,138,1,30,172,0,1
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Specflow\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Specflow\Steps,21,675,579,287,21,95,0,1,9,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Specflow\Steps\Common,12,466,393,201,18,72,0,1,9,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Specflow\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Specflow\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests,17,2355,1775,847,25,391,0,189,331,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\GeoJson,6,1088,801,386,20,185,0,102,111,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\GeoJson\XUnit,6,1088,801,386,20,185,0,102,111,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\GeoJson\XUnit\Importer,6,1088,801,386,20,185,0,102,111,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\Handlers,3,235,186,88,2,29,0,20,26,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\Handlers\XUnit,3,235,186,88,2,29,0,20,26,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\XUnit,7,993,774,371,3,169,0,50,74,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Windows.Service,8,379,279,150,8,52,1,48,233,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Windows.Service\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Windows.Service\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines.Windows.Service\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines\GeoJson,12,398,331,197,20,67,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines\GeoJson\Importer,12,398,331,197,20,67,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines\GeoJson\Importer\Interfaces,6,75,67,41,0,8,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines\Handlers,3,123,106,62,0,17,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Lines\Selkie.Services.Lines\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor,107,5185,4218,1823,92,663,3,304,541,0,3
C:\Development\Selkie\Services\Monitor\Selkie.Services.Aco.Console,3,77,72,16,1,3,0,2,8,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Aco.Console\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Aco.Console\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Aco.Console\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Aco.Console\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Lines.Console,3,77,72,16,1,3,0,2,8,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Lines.Console\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Lines.Console\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Lines.Console\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Lines.Console\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor,41,1549,1330,669,65,212,0,7,43,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common,4,70,66,12,0,4,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common.Tests,2,102,85,20,0,7,0,10,13,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common.Tests\Messages,1,63,46,20,0,7,0,10,13,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common.Tests\Messages\XUnit,1,63,46,20,0,7,0,10,13,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common.Tests\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common.Tests\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common\Messages,3,31,27,12,0,4,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Common\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Console,3,77,72,16,1,3,0,2,8,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Console\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Console\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Console\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Console\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.SpecFlow,29,1113,965,397,19,123,2,25,99,0,2
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.SpecFlow\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.SpecFlow\Steps,24,652,568,284,17,83,0,1,9,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.SpecFlow\Steps\Common,14,471,403,205,14,67,0,1,9,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.SpecFlow\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.SpecFlow\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.SpecFlow\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Tests,18,1964,1430,637,3,291,0,243,310,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Tests\Configuration,6,598,419,197,2,93,0,86,111,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Tests\Configuration\XUnit,6,598,419,197,2,93,0,86,111,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Tests\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Tests\XUnit,11,1327,972,440,1,198,0,157,199,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor.Tests\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor\Configuration,18,549,473,227,27,74,0,2,16,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor\Properties,1,41,41,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Monitor\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Racetracks.Console,3,77,72,16,1,3,0,2,8,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Racetracks.Console\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Racetracks.Console\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Racetracks.Console\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\Selkie.Services.Racetracks.Console\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Monitor\packages,1,79,54,24,1,14,1,11,44,0,1
C:\Development\Selkie\Services\Monitor\packages\SpecFlow.NUnit.Runners.1.0.0,1,79,54,24,1,14,1,11,44,0,1
C:\Development\Selkie\Services\Monitor\packages\SpecFlow.NUnit.Runners.1.0.0\content,1,79,54,24,1,14,1,11,44,0,1
C:\Development\Selkie\Services\Racetracks,119,8139,6560,3091,198,1179,8,400,1394,0,3
C:\Development\Selkie\Services\Racetracks.Common,11,369,234,91,2,57,1,78,395,0,0
C:\Development\Selkie\Services\Racetracks.Common\NuGet.Selkie.Services.Racetracks.Common,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks.Common\NuGet.Selkie.Services.Racetracks.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common,6,107,73,26,0,17,1,17,128,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common.Tests,4,223,147,63,2,32,0,44,147,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common.Tests\Messages,3,184,133,61,2,24,0,27,27,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common\Messages,5,68,59,24,0,9,1,0,8,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks.Common\Selkie.Services.Racetracks.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\NuGet.Selkie.Services.Racetracks,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\NuGet.Selkie.Services.Racetracks\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks,52,2263,1905,1011,113,336,4,22,191,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console,3,75,47,18,1,11,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console.Client,4,317,249,121,11,51,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console.Client\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console.Client\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console.Client\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console.Client\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Console\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.SpecFlow,25,1204,1019,420,24,143,2,42,231,0,2
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.SpecFlow\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.SpecFlow\Steps,21,728,628,305,22,97,0,3,29,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.SpecFlow\Steps\Common,12,456,387,198,18,68,0,1,9,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.SpecFlow\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.SpecFlow\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.SpecFlow\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Tests,25,3783,2993,1345,40,564,0,226,335,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Tests\Converters,16,2066,1663,786,37,316,0,87,87,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Tests\Converters\Dtos,9,1001,750,366,26,164,0,87,87,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Tests\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Windows.Service,8,379,279,150,8,52,1,48,233,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Windows.Service\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Windows.Service\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Windows.Service\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks.Windows.Service\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\Converters,15,980,841,437,73,139,1,0,8,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\Converters\Dtos,9,560,486,257,36,74,1,0,8,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\Interfaces,23,285,252,139,0,33,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\Interfaces\Converters,14,178,157,86,0,21,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\Interfaces\Converters\Dtos,7,93,82,46,0,11,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\TypedFactories,2,26,23,14,0,3,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\Selkie.Services.Racetracks\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Racetracks\packages,1,79,54,24,1,14,1,11,44,0,1
